 ,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12,link13,link14,link15,link16,link17,link18,link19,link20,link21,link22,link23,link24,link25,link26,link27,link28,link29,link30,link31,link32,link33,link34,link35,link36,link37,link38,link39,link40,link41,link42,link43,link44,link45,link46,link47,link48,link49,link50,link51,link52,link53,link54,link55,link56,link57,link58,link59,link60,link61,link62,link63,link64,link65,link66,link67,link68,link69,link70,link71,link72,link73,link74,link75,link76
1,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158,  0.013158
2,  0.006555,  0.006900,  0.006555,  0.009488,  0.006900,  0.010581,  0.008971,  0.010581,  0.008079,  0.010437,  0.008079,  0.012133,  0.010063,  0.009488,  0.012133,  0.009919,  0.006944,  0.007562,  0.009919,  0.006944,  0.002300,  0.021708,  0.010063,  0.002300,  0.014663,  0.014750,  0.029111,  0.021305,  0.075660,  0.000000,  0.010609,  0.028824,  0.020011,  0.017596,  0.008971,  0.020011,  0.010954,  0.011041,  0.013226,  0.017596,  0.013010,  0.009143,  0.021478,  0.013010,  0.016130,  0.020184,  0.021708,  0.075929,  0.015354,  0.012421,  0.000000,  0.015354,  0.012593,  0.007562,  0.012507,  0.013628,  0.016130,  0.012593,  0.005520,  0.013628,  0.005520,  0.007590,  0.007691,  0.007418,  0.007878,  0.011645,  0.020184,  0.007691,  0.007878,  0.009603,  0.009143,  0.009603,  0.003278,  0.013226,  0.011558,  0.003278
3,  0.006326,  0.006668,  0.006326,  0.009266,  0.006668,  0.010831,  0.008294,  0.010831,  0.008040,  0.011501,  0.008040,  0.013965,  0.011821,  0.009266,  0.013965,  0.009170,  0.007253,  0.007020,  0.009170,  0.007253,  0.003816,  0.019605,  0.011821,  0.003816,  0.015312,  0.015403,  0.026994,  0.023842,  0.073301,  0.000000,  0.011678,  0.026662,  0.017045,  0.015665,  0.008294,  0.017045,  0.011017,  0.011105,  0.014824,  0.015665,  0.010112,  0.009085,  0.024035,  0.010112,  0.016959,  0.021716,  0.019605,  0.073628,  0.015699,  0.011509,  0.000000,  0.015699,  0.012796,  0.007020,  0.011598,  0.013249,  0.016959,  0.012796,  0.005635,  0.013249,  0.005635,  0.007356,  0.007526,  0.007183,  0.008480,  0.012747,  0.021716,  0.007526,  0.008480,  0.012249,  0.009085,  0.012249,  0.003120,  0.014824,  0.012658,  0.003120
4,  0.006233,  0.006574,  0.006233,  0.009169,  0.006574,  0.011419,  0.007527,  0.011419,  0.007945,  0.012444,  0.007945,  0.013945,  0.011770,  0.009169,  0.013945,  0.009066,  0.007162,  0.006922,  0.009066,  0.007162,  0.003755,  0.019619,  0.011770,  0.003755,  0.015293,  0.015386,  0.026952,  0.024133,  0.074516,  0.000000,  0.012624,  0.030121,  0.016631,  0.016293,  0.007527,  0.016631,  0.010595,  0.010685,  0.014360,  0.018951,  0.010825,  0.008990,  0.020219,  0.010825,  0.016979,  0.021362,  0.019619,  0.074864,  0.015682,  0.011244,  0.000000,  0.015682,  0.012731,  0.006922,  0.011333,  0.013406,  0.016979,  0.012731,  0.005550,  0.013406,  0.005550,  0.007589,  0.007429,  0.007417,  0.008060,  0.012358,  0.019323,  0.007429,  0.008060,  0.012217,  0.011542,  0.009639,  0.003060,  0.014360,  0.012267,  0.003060
5,  0.006355,  0.006703,  0.006355,  0.009367,  0.006703,  0.011698,  0.007671,  0.011010,  0.008110,  0.012771,  0.008110,  0.014314,  0.012063,  0.009367,  0.014314,  0.009258,  0.007309,  0.007059,  0.009258,  0.007309,  0.003826,  0.020160,  0.012063,  0.003826,  0.015700,  0.015796,  0.031451,  0.020700,  0.050429,  0.018406,  0.011921,  0.027630,  0.017038,  0.019451,  0.008348,  0.017038,  0.010832,  0.011440,  0.014733,  0.016095,  0.011064,  0.011791,  0.024967,  0.010202,  0.017452,  0.020464,  0.020160,  0.050779,  0.011028,  0.011495,  0.018406,  0.011028,  0.013042,  0.007059,  0.011588,  0.013739,  0.017452,  0.013042,  0.005657,  0.013739,  0.005657,  0.007748,  0.007581,  0.007571,  0.008229,  0.013179,  0.021931,  0.007581,  0.008567,  0.009888,  0.009232,  0.012467,  0.003113,  0.015435,  0.012566,  0.003113
6,  0.006209,  0.006551,  0.006209,  0.009166,  0.006551,  0.012142,  0.009478,  0.012802,  0.008592,  0.011516,  0.008592,  0.014050,  0.013517,  0.009166,  0.014050,  0.009056,  0.007146,  0.006898,  0.009056,  0.007146,  0.003737,  0.019805,  0.013517,  0.003737,  0.014372,  0.014467,  0.025677,  0.028438,  0.068824,  0.000000,  0.012695,  0.025317,  0.014595,  0.015783,  0.008827,  0.014595,  0.011110,  0.010704,  0.015145,  0.016467,  0.009986,  0.009024,  0.028651,  0.010814,  0.019071,  0.021620,  0.019805,  0.069185,  0.014414,  0.011254,  0.000000,  0.014414,  0.011535,  0.006898,  0.011345,  0.013472,  0.019071,  0.011535,  0.005526,  0.013472,  0.005526,  0.007577,  0.007412,  0.007404,  0.008379,  0.012419,  0.022139,  0.007412,  0.008053,  0.012243,  0.009024,  0.012243,  0.003037,  0.014473,  0.012826,  0.003037
7,  0.006312,  0.006660,  0.006312,  0.009325,  0.006660,  0.011692,  0.007639,  0.011691,  0.008075,  0.012758,  0.008075,  0.014323,  0.012077,  0.009325,  0.014323,  0.009212,  0.007267,  0.007013,  0.009212,  0.007267,  0.003798,  0.020200,  0.012077,  0.003798,  0.015690,  0.015788,  0.031746,  0.020871,  0.050365,  0.018691,  0.012945,  0.031364,  0.016969,  0.019516,  0.007639,  0.016969,  0.010800,  0.010893,  0.014749,  0.019516,  0.011007,  0.011781,  0.021082,  0.011007,  0.017534,  0.019980,  0.020200,  0.050721,  0.010943,  0.011453,  0.018691,  0.010943,  0.013001,  0.007013,  0.011546,  0.013724,  0.017534,  0.013001,  0.005617,  0.013724,  0.005617,  0.007707,  0.007537,  0.007530,  0.008190,  0.012648,  0.019978,  0.007537,  0.008190,  0.009851,  0.011781,  0.009851,  0.003085,  0.014749,  0.012553,  0.003085
8,  0.006140,  0.006479,  0.006140,  0.009078,  0.006479,  0.012060,  0.009393,  0.012060,  0.008512,  0.011431,  0.008512,  0.013965,  0.013446,  0.009078,  0.013965,  0.008967,  0.007072,  0.006823,  0.008967,  0.007072,  0.003694,  0.019704,  0.013446,  0.003694,  0.014269,  0.014364,  0.025651,  0.024479,  0.075147,  0.000000,  0.011613,  0.025285,  0.014451,  0.015705,  0.009394,  0.014451,  0.011016,  0.011106,  0.015060,  0.015705,  0.009883,  0.008955,  0.024690,  0.009883,  0.017098,  0.022057,  0.019704,  0.075517,  0.015504,  0.011152,  0.000000,  0.015504,  0.012670,  0.006823,  0.011243,  0.013374,  0.017098,  0.012670,  0.005464,  0.013374,  0.005464,  0.007501,  0.007334,  0.007328,  0.008298,  0.012828,  0.022056,  0.007334,  0.008298,  0.012139,  0.008955,  0.012139,  0.002999,  0.015061,  0.012735,  0.002999
9,  0.006147,  0.006487,  0.006147,  0.009092,  0.006487,  0.011422,  0.008763,  0.012765,  0.007873,  0.012461,  0.008529,  0.014002,  0.011810,  0.009092,  0.014002,  0.008980,  0.007082,  0.006831,  0.008980,  0.007082,  0.003698,  0.019761,  0.013497,  0.003698,  0.014294,  0.015424,  0.025693,  0.024600,  0.075806,  0.000000,  0.012645,  0.030797,  0.014457,  0.016425,  0.007449,  0.016547,  0.010538,  0.010629,  0.014421,  0.019104,  0.010728,  0.008963,  0.024631,  0.010728,  0.017145,  0.021620,  0.019761,  0.069396,  0.015568,  0.011171,  0.000000,  0.014314,  0.012700,  0.006831,  0.011262,  0.013404,  0.019069,  0.011458,  0.005470,  0.013404,  0.005470,  0.007511,  0.007344,  0.007339,  0.007984,  0.012354,  0.019555,  0.007344,  0.007984,  0.012178,  0.011508,  0.009608,  0.003001,  0.014421,  0.012261,  0.003001
10,  0.006282,  0.006630,  0.006282,  0.009295,  0.006630,  0.013055,  0.007617,  0.011007,  0.008717,  0.012751,  0.008051,  0.014326,  0.013801,  0.009295,  0.014326,  0.009179,  0.007238,  0.006981,  0.009179,  0.007238,  0.003779,  0.020222,  0.012094,  0.003779,  0.015672,  0.014727,  0.031874,  0.020919,  0.050693,  0.018721,  0.011905,  0.026005,  0.016900,  0.019539,  0.009622,  0.014792,  0.010773,  0.011379,  0.014751,  0.016121,  0.010970,  0.011758,  0.025431,  0.010115,  0.017543,  0.020582,  0.020222,  0.050943,  0.010924,  0.011421,  0.018721,  0.010912,  0.012991,  0.006981,  0.011515,  0.013710,  0.017572,  0.012976,  0.005590,  0.013710,  0.005590,  0.007678,  0.007506,  0.007501,  0.008160,  0.013153,  0.022104,  0.007506,  0.008496,  0.009835,  0.009179,  0.012437,  0.003065,  0.015454,  0.012539,  0.003065
11,  0.006135,  0.006475,  0.006135,  0.009080,  0.006475,  0.012100,  0.009404,  0.012765,  0.008519,  0.011457,  0.008519,  0.014006,  0.013504,  0.009080,  0.014006,  0.008967,  0.007070,  0.006818,  0.008967,  0.007070,  0.003690,  0.019776,  0.013504,  0.003690,  0.014293,  0.014389,  0.025776,  0.028626,  0.069127,  0.000000,  0.012643,  0.029010,  0.014439,  0.015754,  0.008753,  0.014439,  0.011026,  0.010620,  0.015106,  0.019127,  0.009884,  0.008961,  0.020694,  0.010712,  0.019079,  0.021646,  0.019776,  0.076140,  0.014292,  0.011160,  0.000000,  0.015529,  0.011457,  0.006818,  0.011251,  0.013401,  0.017179,  0.012685,  0.005459,  0.013401,  0.005459,  0.007500,  0.007332,  0.007328,  0.008299,  0.012352,  0.020110,  0.007332,  0.007973,  0.012166,  0.011506,  0.009599,  0.002993,  0.014428,  0.012761,  0.002993
