 ,link1,link2,link3,link4,link5,link6,link7,link8,link9,link10,link11,link12,link13,link14,link15,link16,link17,link18,link19,link20,link21,link22,link23,link24,link25,link26,link27,link28,link29,link30,link31,link32,link33,link34,link35,link36,link37,link38,link39,link40,link41,link42,link43,link44,link45,link46,link47,link48,link49,link50,link51,link52,link53,link54,link55,link56,link57,link58,link59,link60,link61,link62,link63,link64,link65,link66,link67,link68,link69,link70,link71,link72,link73,link74,link75,link76
1,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
2,  0.004279,  0.006756,  0.004279,  0.007432,  0.006756,  0.010359,  0.008783,  0.010359,  0.015820,  0.006812,  0.015820,  0.011879,  0.007882,  0.007432,  0.011879,  0.019423,  0.009064,  0.014807,  0.019423,  0.009064,  0.000901,  0.017003,  0.007882,  0.000901,  0.019142,  0.019255,  0.022801,  0.013906,  0.031641,  0.000000,  0.006925,  0.022576,  0.013062,  0.017228,  0.008783,  0.013062,  0.014300,  0.014413,  0.012949,  0.017228,  0.010190,  0.008952,  0.014019,  0.010190,  0.021056,  0.026348,  0.017003,  0.031753,  0.030064,  0.016214,  0.000000,  0.030064,  0.024659,  0.014807,  0.016327,  0.013343,  0.021056,  0.024659,  0.005405,  0.013343,  0.005405,  0.004954,  0.006024,  0.004842,  0.015426,  0.015201,  0.026348,  0.006024,  0.015426,  0.009402,  0.008952,  0.009402,  0.006418,  0.012949,  0.015088,  0.006418
3,  0.004252,  0.006713,  0.004252,  0.007384,  0.006713,  0.010741,  0.008279,  0.010741,  0.016111,  0.007608,  0.016111,  0.013761,  0.009398,  0.007384,  0.013761,  0.018237,  0.009734,  0.014097,  0.018237,  0.009734,  0.001566,  0.014880,  0.009398,  0.001566,  0.019915,  0.020027,  0.019915,  0.015104,  0.027747,  0.000000,  0.007720,  0.019691,  0.010853,  0.015104,  0.008279,  0.010853,  0.014545,  0.014657,  0.014545,  0.015104,  0.007944,  0.009062,  0.015216,  0.007944,  0.021929,  0.027635,  0.014880,  0.027859,  0.030544,  0.015104,  0.000000,  0.030544,  0.025173,  0.014097,  0.015216,  0.012978,  0.021929,  0.025173,  0.005706,  0.012978,  0.005706,  0.004923,  0.006042,  0.004811,  0.017006,  0.016782,  0.027635,  0.006042,  0.017006,  0.012195,  0.009062,  0.012195,  0.006377,  0.014545,  0.016670,  0.006377
4,  0.004261,  0.006728,  0.004261,  0.007401,  0.006728,  0.011438,  0.007625,  0.011438,  0.016147,  0.008298,  0.016147,  0.013792,  0.009419,  0.007401,  0.013792,  0.018278,  0.009756,  0.014129,  0.018278,  0.009756,  0.001570,  0.014914,  0.009419,  0.001570,  0.019960,  0.020072,  0.019735,  0.015138,  0.027585,  0.000000,  0.008410,  0.022090,  0.010653,  0.015811,  0.007625,  0.010653,  0.014129,  0.014241,  0.014129,  0.018390,  0.008634,  0.009083,  0.012671,  0.008634,  0.021978,  0.027024,  0.014914,  0.027697,  0.030612,  0.014914,  0.000000,  0.030612,  0.025230,  0.014129,  0.015026,  0.013232,  0.021978,  0.025230,  0.005719,  0.013232,  0.005719,  0.005158,  0.006055,  0.005046,  0.016371,  0.016371,  0.024445,  0.006055,  0.016371,  0.012222,  0.011662,  0.009643,  0.006392,  0.014129,  0.016259,  0.006392
5,  0.004339,  0.006851,  0.004339,  0.007536,  0.006851,  0.011646,  0.007764,  0.010961,  0.016442,  0.008449,  0.016442,  0.014044,  0.009591,  0.007536,  0.014044,  0.018612,  0.009934,  0.014387,  0.018612,  0.009934,  0.001599,  0.015186,  0.009591,  0.001599,  0.020324,  0.020438,  0.022722,  0.012788,  0.018269,  0.009820,  0.007879,  0.019868,  0.010847,  0.018726,  0.008449,  0.010847,  0.014387,  0.015186,  0.014387,  0.015414,  0.008792,  0.011875,  0.015529,  0.008107,  0.022380,  0.025577,  0.015186,  0.018383,  0.021352,  0.015186,  0.009820,  0.021352,  0.025691,  0.014387,  0.015300,  0.013473,  0.022380,  0.025691,  0.005823,  0.013473,  0.005823,  0.005252,  0.006166,  0.005138,  0.016670,  0.017356,  0.027518,  0.006166,  0.017356,  0.009820,  0.009249,  0.012446,  0.006508,  0.015072,  0.016556,  0.006508
6,  0.004265,  0.006734,  0.004265,  0.007407,  0.006734,  0.012121,  0.009652,  0.012795,  0.017508,  0.007632,  0.017508,  0.013805,  0.010774,  0.007407,  0.013805,  0.018294,  0.009764,  0.014141,  0.018294,  0.009764,  0.001571,  0.014927,  0.010774,  0.001571,  0.018631,  0.018743,  0.018406,  0.017621,  0.025140,  0.000000,  0.008418,  0.018182,  0.009315,  0.015152,  0.008979,  0.009315,  0.014815,  0.014254,  0.014815,  0.015825,  0.007969,  0.009091,  0.017733,  0.008642,  0.024467,  0.027048,  0.014927,  0.025253,  0.028171,  0.014927,  0.000000,  0.028171,  0.022783,  0.014141,  0.015039,  0.013244,  0.024467,  0.022783,  0.005724,  0.013244,  0.005724,  0.005163,  0.006061,  0.005051,  0.017059,  0.016386,  0.027722,  0.006061,  0.016386,  0.012233,  0.009091,  0.012233,  0.006397,  0.014141,  0.016947,  0.006397
7,  0.004345,  0.006860,  0.004345,  0.007546,  0.006860,  0.011662,  0.007775,  0.011662,  0.016465,  0.008461,  0.016465,  0.014064,  0.009604,  0.007546,  0.014064,  0.018637,  0.009947,  0.014407,  0.018637,  0.009947,  0.001601,  0.015207,  0.009604,  0.001601,  0.020352,  0.020466,  0.022753,  0.012806,  0.018294,  0.009833,  0.008575,  0.022525,  0.010862,  0.018751,  0.007775,  0.010862,  0.014407,  0.014521,  0.014407,  0.018751,  0.008804,  0.011891,  0.012920,  0.008804,  0.022410,  0.024926,  0.015207,  0.018408,  0.021381,  0.015207,  0.009833,  0.021381,  0.025726,  0.014407,  0.015321,  0.013492,  0.022410,  0.025726,  0.005831,  0.013492,  0.005831,  0.005260,  0.006174,  0.005145,  0.016693,  0.016693,  0.024926,  0.006174,  0.016693,  0.009833,  0.011891,  0.009833,  0.006517,  0.014407,  0.016579,  0.006517
8,  0.004238,  0.006692,  0.004238,  0.007361,  0.006692,  0.012046,  0.009592,  0.012046,  0.017399,  0.007584,  0.017399,  0.013718,  0.010707,  0.007361,  0.013718,  0.018180,  0.009703,  0.014053,  0.018180,  0.009703,  0.001561,  0.014834,  0.010707,  0.001561,  0.018514,  0.018626,  0.018291,  0.015057,  0.027437,  0.000000,  0.007696,  0.018068,  0.009257,  0.015057,  0.009592,  0.009257,  0.014722,  0.014834,  0.014722,  0.015057,  0.007919,  0.009034,  0.015168,  0.007919,  0.021860,  0.027549,  0.014834,  0.027549,  0.030448,  0.014834,  0.000000,  0.030448,  0.025095,  0.014053,  0.014945,  0.013161,  0.021860,  0.025095,  0.005688,  0.013161,  0.005688,  0.005130,  0.006023,  0.005019,  0.016953,  0.016953,  0.027549,  0.006023,  0.016953,  0.012157,  0.009034,  0.012157,  0.006357,  0.014722,  0.016841,  0.006357
9,  0.004266,  0.006736,  0.004266,  0.007409,  0.006736,  0.011450,  0.008981,  0.012797,  0.016165,  0.008307,  0.017512,  0.013808,  0.009430,  0.007409,  0.013808,  0.018298,  0.009767,  0.014145,  0.018298,  0.009767,  0.001572,  0.014930,  0.010777,  0.001572,  0.018635,  0.020094,  0.018410,  0.015155,  0.027616,  0.000000,  0.008419,  0.022115,  0.009317,  0.015828,  0.007634,  0.010665,  0.014145,  0.014257,  0.014145,  0.018410,  0.008644,  0.009093,  0.015155,  0.008644,  0.022003,  0.027054,  0.014930,  0.025258,  0.030647,  0.014930,  0.000000,  0.028177,  0.025258,  0.014145,  0.015043,  0.013247,  0.024472,  0.022789,  0.005725,  0.013247,  0.005725,  0.005164,  0.006062,  0.005052,  0.016390,  0.016390,  0.024472,  0.006062,  0.016390,  0.012236,  0.011675,  0.009654,  0.006399,  0.014145,  0.016278,  0.006399
10,  0.004333,  0.006842,  0.004333,  0.007526,  0.006842,  0.012999,  0.007754,  0.010946,  0.017788,  0.008438,  0.016420,  0.014025,  0.010946,  0.007526,  0.014025,  0.018586,  0.009920,  0.014367,  0.018586,  0.009920,  0.001596,  0.015165,  0.009578,  0.001596,  0.020296,  0.019042,  0.022691,  0.012771,  0.018244,  0.009806,  0.007868,  0.018472,  0.010832,  0.018700,  0.009806,  0.009464,  0.014367,  0.015165,  0.014367,  0.015393,  0.008780,  0.011859,  0.015507,  0.008096,  0.022349,  0.025542,  0.015165,  0.018358,  0.021323,  0.015165,  0.009806,  0.021323,  0.025656,  0.014367,  0.015279,  0.013455,  0.022349,  0.025656,  0.005815,  0.013455,  0.005815,  0.005245,  0.006157,  0.005131,  0.016648,  0.017332,  0.027480,  0.006157,  0.017332,  0.009806,  0.009236,  0.012429,  0.006499,  0.015051,  0.016534,  0.006499
